Jodatime 2.3-2.4	Trivial	ValueChange	ReportError
Jodatime 2.3-2.4	Trivial	ValueChange	ReportError
Jodatime 2.3-2.4	Trivial	UnhandledException	EnforceRules
Jodatime 2.3-2.4	Trivial	UnhandledException	EnforceRules
Jodatime 2.3-2.4	SpecificValue	UnhandledException	EnforceRules
Jodatime 2.5-2.6	SpecificValue	ValueChange	ChangeDefaultSetting
Jodatime 2.5-2.6	Always	ValueChange	InternalStructureOpt
commons-io 2.0-2.1	Always	ValueChange	MoreReasonableBehavior
commons-io 2.2-2.3	ErrorException	Different Exception	DifferentException
commons-io 2.2-2.3	ErrorException	Different Exception	DifferentException
http-core 4.0.1-4.1(2)	Trivial	NoException	EnableBadOrNewInput
http-core 4.0.1-4.1	Always	ValueChange	MoreReasonableBehavior
http-core 4.0.1-4.1	Always	memory	ChangeDefaultSetting
http-core 4.0.1-4.1(4)	Always	memory	ChangeDefaultSetting
http-core 4.0.1-4.1	Trivial	ValueChange	OutputFormatChange
http-core 4.0.1-4.1	Trivial	ValueChange	OutputFormatChange
http-core 4.1-4.1.4	SpecificValue	UnhandledException	ReportError
http-core 4.1-4.1.4(8)	SpecificValue	ValueChange	EnforceRules
http-core 4.2-4.2.5	Always	memory	EnforceRules
http-core 4.2-4.2.5	Always	memory	APIPatternChange
http-core 4.2-4.2.5(4)	Always	memory	APIPatternChange
http-core 4.2-4.2.5	MultipleAPI	memory	MoreReasonableBehavior
http-core 4.2-4.2.5	MultipleAPI	ValueChange	EnforceRules
http-core 4.2-4.2.5	SpecificField	memory	MoreReasonableBehavior
http-core 4.3-4.3.3	SpecificField	ValueChange	EnableBadOrNewInput
http-core 4.3-4.3.3	Always	memory	MoreReasonableBehavior
http-core 4.3-4.3.3	ErrorException	ValueChange	EnableBadOrNewInput
http-core 4.3-4.3.3(2)	SpecificField	memory	MoreReasonableBehavior
http-core 4.3-4.3.3	SpecificField	memory	MoreReasonableBehavior
http-core 4.3-4.3.3	SpecificField	memory	MoreReasonableBehavior
http-core 4.3-4.3.3	ErrorException	UnhandledException	ReportError
http-core 4.3-4.3.3	SpecificField	UnhandledException	EnforceRules
http-core 4.3-4.3.3(2)	ErrorException	Different Exception	DifferentException
http-core 4.3.3-4.4	ErrorException	NoException	EnableBadOrNewInput
http-core 4.3.3-4.4(6)	SpecificValue	ValueChange	OutputFormatChange
http-core 4.3.3-4.4	SpecificValue	UnhandledException	ReportError
http-core 4.3.3-4.4	SpecificValue	UnhandledException	InputFormatChange
http-core 4.3.3-4.4	MultipleAPI	memory	MoreReasonableBehavior
http-core 4.3.3-4.4(3)	SpecificValue	ValueChange	MoreReasonableBehavior
http-core 4.3.3-4.4(5)	Always	ValueChange	OutputFormatChange
http-core 4.3.3-4.4	SpecificField	ValueChange	EnableBadOrNewInput
http-core 4.3.3-4.4	SpecificValue	ValueChange	MoreReasonableBehavior
elastic 1.1-1.1.2(4)	SpecialType	ValueChange	MoreReasonableBehavior
elastic 1.1-1.1.2(4)	SpecificField	ValueChange	OutputFormatChange
elastic 1.1-1.1.2(2)	SpecificField	UnhandledException	ErrorMessage
elastic 1.2-1.2.4(2)	Always	ValueChange	InternalStructureOpt
elastic 1.2-1.2.4(4)	SpecialType	UnhandledException	EnforceRules
elastic 1.2-1.2.4(2)	Trivial	UnhandledException	EnforceRules
elastic 1.2-1.2.4(2)	Always	ValueChange	ChangeDefaultSetting
elastic 1.2-1.2.4(2)	MultipleAPI	UnhandledException	ReportError
elastic 1.2-1.2.4(2)	Always	UnhandledException	ReportError
elastic 1.2-1.2.4(2)	MultipleAPI	UnhandledException	ReportError
elastic 1.2-1.2.4(2)	Always	UnhandledException	ReportError
elastic 1.2-1.2.4(2)	MultipleAPI	UnhandledException	ReportError
elastic 1.3-1.3.9	SpecificField	Unhandle Exception	SignatureChangeReflection
elastic 1.3-1.3.9	Always	TypeChange	SignatureChangeReflection
elastic 1.3-1.3.9	SpecificField	ValueChange	ErrorMessage
elastic 1.3-1.3.9	SpecificField	ValueChange	MoreReasonableBehavior
elastic 1.3-1.3.9	SpecificField	ValueChange	ErrorMessage
elastic 1.3-1.3.9	SpecificField	UnhandledException	APIPatternChange
elastic 1.3-1.3.9	ErrorException	NoException	EnableBadOrNewInput
elastic 1.3-1.3.9	Trivial	ValueChange	OutputFormatChange
elastic 1.3-1.3.9	Always	ValueChange	ErrorMessage
elastic 1.3-1.3.9	StringFormat	ValueChange	MoreReasonableBehavior
elastic 1.3-1.3.9	MultipleAPI	NoException	EnableBadOrNewInput
elastic 1.3-1.3.9	ErrorException	ValueChange	EnableBadOrNewInput
Android 4.3-4.4	Always	StructureChange	SignatureChangeReflection
Android 4.3-4.4	Always	GUI	MoreReasonableBehavior
Android 4.3-4.4	Always	GUI	MoreReasonableBehavior
